wavelength_A,flux
2.393400000000048294e+03,3.141007297638988050e-13
2.394800000000048385e+03,3.155449396939231104e-13
2.396200000000048476e+03,3.169891496239473654e-13
2.397600000000048567e+03,3.183850697297031959e-13
2.399000000000048658e+03,3.169873948057136979e-13
2.400400000000048749e+03,3.155897198817241495e-13
2.401800000000048840e+03,3.141920449577346515e-13
2.403200000000048931e+03,3.124645205657474208e-13
2.404600000000049022e+03,3.079492094088402532e-13
2.406000000000049113e+03,3.079140623355906035e-13
2.407400000000049204e+03,3.076598386045574160e-13
2.408800000000049295e+03,3.061127541611305744e-13
2.410200000000049386e+03,3.045656697177037328e-13
2.411600000000049477e+03,3.039926766991195313e-13
2.413000000000049567e+03,3.073224801053352259e-13
2.414400000000049658e+03,3.077039669338817082e-13
2.415800000000049749e+03,3.024163964359439287e-13
2.417200000000049840e+03,3.066115678348470733e-13
2.418600000000049931e+03,3.059602166726261281e-13
2.420000000000050022e+03,3.044205542923504561e-13
2.421400000000050113e+03,3.034486089716883009e-13
2.422800000000050204e+03,3.053813414078618503e-13
2.424200000000050295e+03,3.027835215441637641e-13
2.425600000000050386e+03,3.028135667258397550e-13
2.427000000000050477e+03,3.076745987826200772e-13
2.428400000000050568e+03,3.084710707802869530e-13
2.429800000000050659e+03,3.036368949737785074e-13
2.431200000000050750e+03,2.988027191672701123e-13
2.432600000000050841e+03,2.970028256501823506e-13
2.434000000000050932e+03,2.985680971923487922e-13
2.435400000000051023e+03,2.989549584299857206e-13
2.436800000000051114e+03,2.982130867719318349e-13
2.438200000000051205e+03,2.989993068887734074e-13
2.439600000000051296e+03,3.009252523774418296e-13
2.441000000000051386e+03,3.003756113621457379e-13
2.442400000000051477e+03,2.932090525545766518e-13
2.443800000000051568e+03,2.921522225964619345e-13
2.445200000000051659e+03,2.968151046122133799e-13
2.446600000000051750e+03,3.063186337369573552e-13
2.448000000000051841e+03,3.183457471733821517e-13
2.449400000000051932e+03,3.174645202624593358e-13
2.450800000000052023e+03,3.108911176365362272e-13
2.452200000000052114e+03,3.043177150106131690e-13
2.453600000000052205e+03,2.977443123846901108e-13
2.455000000000052296e+03,2.949650706374990163e-13
2.456400000000052387e+03,2.953929018389540957e-13
2.457800000000052478e+03,2.945922088705479353e-13
2.459200000000052569e+03,2.933552698462867089e-13
